"Title","Date","Link","Summary"
"《海南省商业性个人住房贷款转住房公积金个人住房贷款管理办法》印发","11/26/2025 23:21","https://finance.eastmoney.com/a/202511263575736398.html","海南省住房公积金管理局印发《海南省商业性个人住房贷款转住房公积金个人住房贷款管理办法》，自2025年12月1日起施行。其中提到，商转公贷款方式包括“带押直转”和“自筹结清”两种方式。“带押直转”方式商..."
"累计查明金资源量81.06吨 四川最大金矿来了","11/26/2025 22:51","https://finance.eastmoney.com/a/202511263575719375.html","【累计查明金资源量81.06吨 四川最大金矿来了】11月26日，记者从四川省自然资源厅获悉，“四川省松潘县东北寨金矿床勘探”项目通过四川省矿产资源储量评审中心评审。结果显示，东北寨金矿本次评审新增金资..."
"【新华解读】消费新政促供需良性互动 激发消费新潜能","11/26/2025 22:50","https://finance.eastmoney.com/a/202511263575719838.html","新华财经北京11月26日电（记者丁雅雯、刘旭阳）工业和信息化部等六部门26日联合印发《关于增强消费品供需适配性进一步促进消费的实施方案》，从加速新技术新模式创新应用、扩大特色和新型产品供给、精准匹配不..."
"累计查明金资源量81.06吨 四川最大金矿来了","11/26/2025 22:48","https://finance.eastmoney.com/a/202511263575718568.html","11月26日消息，据四川省自然资源厅，“四川省松潘县东北寨金矿床勘探”项目通过四川省矿产资源储量评审中心评审。结果显示，东北寨金矿本次评审新增金资源量28.24吨，累计查明金资源量81.06吨，规模达..."
"严查抄袭剽窃等行为，科技部启动学术不端撤稿论文专项整治行动","11/26/2025 22:45","https://finance.eastmoney.com/a/202511263575719032.html","记者辛圆科学技术部办公厅微信公众号“锐科技”周三发布消息称，近日，科技部会同有关部门部署开展学术不端撤稿论文专项整治行动，严查抄袭剽窃、虚构伪造数据等行为。据了解，本次专项整治行动聚焦中国学者在自然科..."
"上海深化药械监管改革，医疗机构中创新药配备率已“非常高”","11/26/2025 22:39","https://finance.eastmoney.com/a/202511263575714240.html","日前，上海市发布《上海市全面深化药品医疗器械监管改革促进医药产业高质量发展的若干措施》（下称“《若干措施》”）。11月26日，上海政府新闻办举行新闻通气会解读该文件。界面新闻获悉，《若干措施》一方面意..."
"【中证快报】11月26日中证投资资讯 | 六部门发文推动生产高效响应消费者个性化需求","11/26/2025 22:33","https://finance.eastmoney.com/a/202511263575712334.html","【中证头条】六部门发文推动生产高效响应消费者个性化需求工业和信息化部、国家发展改革委、商务部、文化和旅游部、中国人民银行、市场监管总局等六部门印发《关于增强消费品供需适配性进一步促进消费的实施方案》，..."
"中央网信办：网站平台要强化对财经类“自媒体”和MCN机构账号管理","11/26/2025 22:33","https://finance.eastmoney.com/a/202511263575714083.html","“网信中国”微信公众号11月26日消息，当日，中央网信办在北京召开优化营商网络环境工作经验总结交流会。会议指出，要深刻认识优化营商网络环境对护航经济高质量发展、提振企业发展信心、营造清朗网络空间的重要..."
"从“可选项”到“必答题”，ESG重塑可持续发展内核","11/26/2025 22:30","https://finance.eastmoney.com/a/202511263575714183.html","时代浪潮奔涌向前。“十五五”新的征程即将开启，ESG这一融合环境、社会与治理协同发展的先进理念，正从企业的“可选项”，跃升为关乎长远发展与核心竞争力的“必答题”。11月26日，以“治善致远绿动未来”为..."
"湖北抢先“落子”，“中三省”机会来了？","11/26/2025 22:28","https://finance.eastmoney.com/a/202511263575715039.html","地跨湖北、湖南、江西三省的长江中游城市群，正在迎来新的“坐标方位”。国家“十五五”规划建议首次提出“促进区域联动发展”，并在这一部分单独点名“推动长江中游城市群等加快发展”，培育发展若干区域性中心城市..."
"【财闻联播】10家航空公司被约谈！连续4年财务造假 这家公司终止上市","11/26/2025 22:26","https://finance.eastmoney.com/a/202511263575708966.html","宏观动态《信用修复管理办法》公布：轻微失信信息原则上不予公示《信用修复管理办法》已经2025年11月19日第25次委务会议审议通过，现予公布，自2026年4月1日起施行。失信信息按照失信严重程度实行分..."
"重点整治六类金融领域网络乱象！北京行动了","11/26/2025 22:22","https://finance.eastmoney.com/a/202511263575707541.html","据“网信北京”公众号消息，当前，部分金融领域“黑灰产”借助网络平台滋生蔓延，通过假冒身份、隐蔽引流、非法推介等手段误导公众、欺诈敛财，严重侵害人民群众财产安全，扰乱金融市场秩序。为有效遏制金融领域突出..."
"一追到底！我国将建立学术不端撤稿论文长效治理机制","11/26/2025 22:22","https://finance.eastmoney.com/a/202511263575707158.html","新华社北京11月26日电今后聚焦我国学者在自然科学领域国际期刊撤稿论文，对涉嫌抄袭剽窃、虚构伪造数据或图像、买卖论文、虚构同行评议专家及评议意见等行为，相关部门将严肃开展调查和处理，并加强处理结果通报..."
"河南民营经济创新发展动能强劲 高新技术民企超1.26万家","11/26/2025 22:19","https://finance.eastmoney.com/a/202511263575706094.html","上证报中国证券网讯（记者王乔琪）11月26日，河南省举办2025年河南省民营经济高质量发展系列新闻发布会（第二场），介绍今年以来河南省民营经济创新发展的有关情况。河南省科学技术厅党组成员、副厅长陶曼晞..."
"海关总署副署长赵增连会见意大利卫生部部长奥拉齐奥·斯基拉奇","11/26/2025 22:18","https://finance.eastmoney.com/a/202511263575706116.html","上证报中国证券网讯据“海关发布”微信公众号11月26日消息，11月25日下午，海关总署副署长赵增连在署会见意大利卫生部部长奥拉齐奥·斯基拉奇一行。双方就建立中意农食产品安全及卫生检疫合作机制、扩大农食..."
"纸企连收涨价函","11/26/2025 22:18","https://finance.eastmoney.com/a/202511263575704156.html","【纸企连收涨价函】记者从业内了解到，今年三季度以来，包装纸行业用到的原纸，价格接连上涨；进入四季度后，又有多家造纸企业开启新一轮提价。"
"工信部等六部门发文进一步促进消费：到2027年形成3个万亿级消费领域","11/26/2025 22:10","https://finance.eastmoney.com/a/202511263575715237.html","11月26日，据工信部官网消息，为贯彻落实党中央、国务院关于大力提振消费的决策部署，工信部等六部门制定了《关于增强消费品供需适配性进一步促进消费的实施方案》（以下简称《方案》）。《方案》要求，到202..."
"习近平向香港新界大埔区住宅楼重大火灾事故遇难人员和殉职的消防员表示哀悼 对遇难者家属和受灾人员表示慰问 要求全力以赴扑灭火灾 努力把火灾伤亡损失降到最低","11/26/2025 22:09","https://finance.eastmoney.com/a/202511263575694749.html","【习近平向香港新界大埔区住宅楼重大火灾事故遇难人员和殉职的消防员表示哀悼 对遇难者家属和受灾人员表示慰问 要求全力以赴扑灭火灾 努力把火灾伤亡损失降到最低】习近平向香港新界大埔区住宅楼重大火灾事故遇难..."
"广东“新磁极”：科技与资本驱动文化产业“质变”","11/26/2025 22:00","https://finance.eastmoney.com/a/202511263575716112.html","南方财经记者郑玮广州报道“今年前三个季度，广东省经营性演出总场次达到3.56万场，总收入63.56亿元，位居全国第一，演唱会经济成为消费的新引擎。同期，游戏电竞、网络视听保持高速发展，顶级电竞赛事增长..."
"海南省政府与中国华能集团签署全面深化战略合作协议","11/26/2025 21:56","https://finance.eastmoney.com/a/202511263575718993.html","11月26日，海南省政府与中国华能集团有限公司在海口签署全面深化战略合作协议。省委书记冯飞、省长刘小明会见中国华能集团董事长温枢刚一行并见证签约。"
"挖存量拓增量 六部门合力增强消费品供需适配性","11/26/2025 21:54","https://finance.eastmoney.com/a/202511263575719193.html","以消费升级引领产业升级，以优质供给更好满足多元需求，实现供需更高水平动态平衡。11月，工信部、国家发改委、商务部、文旅部、中国人民银行和市场监管总局联合印发《关于增强消费品供需适配性进一步促进消费的实..."
"中央网信办：网站平台要坚持问题导向 强化对财经类“自媒体”和MCN机构账号管理","11/26/2025 21:49","https://finance.eastmoney.com/a/202511263575682029.html","新华财经北京11月26日电据“网信中国”消息，11月26日，中央网信办在北京召开优化营商网络环境工作经验总结交流会。会议强调，优化营商网络环境是优化营商环境的重要内容，也是网信部门的重要职责。近年来，..."
"中央网信办召开优化营商网络环境工作经验总结交流会","11/26/2025 21:48","https://finance.eastmoney.com/a/202511263575681889.html","人民财讯11月26日电，11月26日，中央网信办在北京召开优化营商网络环境工作经验总结交流会。会议要求，各级网信部门要加强组织领导，高位推动落实，保持高压态势，加大对网上涉企侵权行为处置力度，强化宣传..."
"山东：前10月全省办理离境退税境外旅客人数同比增长140.4%","11/26/2025 21:48","https://finance.eastmoney.com/a/202511263575681977.html","人民财讯11月26日电，国家税务总局山东省税务局消息，今年以来，随着离境退税“即买即退”服务措施的推广，山东税务部门优化退税办理流程和支付服务，提升境外旅客入境消费便利化水平。1-10月全省办理离境退..."
"海关总署副署长赵增连会见意大利卫生部部长奥拉齐奥·斯基拉奇","11/26/2025 21:48","https://finance.eastmoney.com/a/202511263575681619.html","人民财讯11月26日电，11月25日下午，海关总署副署长赵增连在署会见意大利卫生部部长奥拉齐奥·斯基拉奇一行。双方就建立中意农食产品安全及卫生检疫合作机制、扩大农食产品双向贸易等议题交换意见。意大利驻..."
"中央网信办召开优化营商网络环境工作经验总结交流会","11/26/2025 21:47","https://finance.eastmoney.com/a/202511263575720266.html","11月26日，中央网信办在北京召开优化营商网络环境工作经验总结交流会。中央宣传部副部长、中央网信办主任、国家网信办主任庄荣文出席会议并讲话。中央网信办副主任、国家网信办副主任杨建文主持会议。会议指出，..."
"中央网信办：网站平台要坚持问题导向 强化对财经类“自媒体”和MCN机构账号管理","11/26/2025 21:47","https://finance.eastmoney.com/a/202511263575679381.html","财联社11月26日讯，据网信中国，11月26日，中央网信办在北京召开优化营商网络环境工作经验总结交流会。中央宣传部副部长、中央网信办主任、国家网信办主任庄荣文出席会议并讲话。中央网信办副主任、国家网信..."
"海关总署副署长赵增连会见意大利卫生部部长奥拉齐奥·斯基拉奇","11/26/2025 21:42","https://finance.eastmoney.com/a/202511263575719725.html","11月25日下午，海关总署副署长赵增连在署会见意大利卫生部部长奥拉齐奥·斯基拉奇一行。双方就建立中意农食产品安全及卫生检疫合作机制、扩大农食产品双向贸易等议题交换意见。意大利驻华大使安博思参加会见。"
"山西已建成281座绿色矿山","11/26/2025 21:41","https://finance.eastmoney.com/a/202511263575678925.html","新华财经太原11月26日电（记者马晓洁）记者从山西省政府新闻办26日举行的新闻发布会上获悉，目前，山西已建成281座绿色矿山，其中国家级75座，省级206座，绿色矿山总入选数量位居全国前列。2022年..."
"深交所组织上市公司澳大利亚路演","11/26/2025 21:41","https://finance.eastmoney.com/a/202511263575677344.html","11月26日，深交所组织上市公司赴澳大利亚举办“投资中国新机遇”—深市上市公司悉尼路演交流会，旨在向当地投资者面对面讲好上市公司创新发展故事，展示“十五五”时期中国经济高质量发展前景，宣介中国资本市场..."
"山东：前10月全省办理离境退税境外旅客人数同比增长140.4%","11/26/2025 21:41","https://finance.eastmoney.com/a/202511263575665460.html","【山东：前10月全省办理离境退税境外旅客人数同比增长140.4%】国家税务总局山东省税务局消息，今年以来，随着离境退税“即买即退”服务措施的推广，山东税务部门优化退税办理流程和支付服务，提升境外旅客入..."
"打造“长三角创新枢纽” 上海青浦激发区域创新动力","11/26/2025 21:37","https://finance.eastmoney.com/a/202511263575665037.html","上证报中国证券网讯（记者郭晓萍）11月26日，记者从“实干绘答卷接力新蓝图”上海“十四五”规划成果系列新闻发布会青浦区专场上获悉，青浦区坚持科技创新和产业创新深度融合，让各类创新创业要素在青浦加速集聚..."
"【西街观察】资本市场不应止于高活跃度","11/26/2025 21:37","https://finance.eastmoney.com/a/202511263575720327.html","A股持续震荡，但日成交量却始终保持在1.5万亿元以上，构成了A股强韧性的重要基础。成交量稳健保持在高位，说明市场交投活跃，买卖之间A股的投资价值持续被发掘。从1万亿元到最高3万亿元，现如今常态化稳定在..."
"章俊把脉2026：中国资产配置迎加减乘除新逻辑","11/26/2025 21:32","https://finance.eastmoney.com/a/202511263575721160.html","“站在‘十四五’收官、‘十五五’开局之年，我们认为变局中正孕育着新的飞跃。”11月26日，在北京举行的中国银河证券2026年度策略报告会上，该公司首席经济学家、研究院院长章俊在以“变局·飞跃”为主题的..."
"就安世半导体等经贸问题，商务部部长王文涛与欧方视频会谈","11/26/2025 21:28","https://finance.eastmoney.com/a/202511263575655027.html","财联社11月26日讯，据商务部网站，11月26日，商务部部长王文涛与欧盟委员会贸易和经济安全委员谢夫乔维奇举行视频会谈，就安世半导体等经贸问题深入交换意见。王文涛表示，关于安世半导体问题，造成当前全球..."
"一财社论：惠企政策需要换位思维","11/26/2025 21:22","https://finance.eastmoney.com/a/202511263575683731.html","规范涉企行政行为是一场由表及里的认知变革。25日国务院企业负担部际联席会议召开电视电话会议，明确2026年，要聚焦降本增效，建立健全惠企政策常态化运行机制，聚焦优化环境，建立健全规范涉企行政行为标准制..."
"旅居养老、适老化改造纳入国标！新版养老服务标准体系破解行业痛点","11/26/2025 21:22","https://finance.eastmoney.com/a/202511263575655726.html","11月26日，市场监管总局与民政部联合召开专题新闻发布会，正式解读《养老服务标准体系建设指南（2025版）》（下称《标准指南》）。"
"11月26日重要资讯一览","11/26/2025 21:21","https://finance.eastmoney.com/a/202511263575653890.html","重要的消息有哪些1．工业和信息化部等六部门联合印发《关于增强消费品供需适配性进一步促进消费的实施方案》，其中提出，到2027年，消费品供给结构明显优化，形成3个万亿级消费领域和10个千亿级消费热点，打..."
"重点整治六类金融领域网络乱象，北京启动专项行动","11/26/2025 21:16","https://finance.eastmoney.com/a/202511263575683973.html","据“网信北京”公众号11月26日消息，为有效遏制金融领域突出网络乱象，北京市网信办26日会同北京金融监管局联合部署开展为期3个月的“清朗京华·金融守护”金融领域网络乱象治理专项行动，以高压态势严打网上..."
"促消费新政来了！加速供需适配，打造万亿级消费领域","11/26/2025 21:16","https://finance.eastmoney.com/a/202511263575722857.html","21世纪经济报道记者周潇枭见习记者张旭北京报道当市场抱怨消费不足时，一个巨大商机已浮出水面。国家正通过切换解法，进一步发掘消费潜力，满足人们更高水平的消费需求。11月14日，国常会部署增强消费品供需适..."
"5000亿地方债结存限额加快落地，更多资金助力稳投资和化债","11/26/2025 21:15","https://finance.eastmoney.com/a/202511263575722477.html","21世纪经济报道记者周潇枭北京报道根据各地披露的发债信息，11月地方新增专项债发行规模预计为4922亿元，较上月增长了超2000亿元。与此同时，11月用于偿还存量债务的地方再融资债券（又称特殊再融资债..."
"云南立法规范民宿业发展","11/26/2025 21:00","https://finance.eastmoney.com/a/202511263575658371.html","新华社昆明11月26日电（记者严勇、王贤思）记者26日在云南省十四届人大常委会第二十次会议上获悉，云南省人大常委会11月26日审查批准《大理白族自治州民宿管理和促进条例》。这是云南省首次以立法形式规范..."
"北京启动专项行动重点整治六类金融领域网络乱象","11/26/2025 20:58","https://finance.eastmoney.com/a/202511263575733893.html","11月26日，据“网信北京”消息，当前，部分金融领域“黑灰产”借助网络平台滋生蔓延，通过假冒身份、隐蔽引流、非法推介等手段误导公众、欺诈敛财，严重侵害人民群众财产安全，扰乱金融市场秩序。"
"华润置地澐启滨江首批次认购率224% 岁末上海豪宅大战启幕","11/26/2025 20:57","https://finance.eastmoney.com/a/202511263575634236.html","2025年最后两个月，一场关乎房企业绩冲刺、市场份额重构与行业格局重塑的“抢客大战”已然白热化。在上海，豪宅市场焦点汇聚于高端赛道，抢客大战一触即发。"
"中泰证券60亿定增落地，年内多家上市券商再融资提速，监管审慎把关风向不改","11/26/2025 20:57","https://finance.eastmoney.com/a/202511263575634363.html","蓝鲸新闻11月26日讯（记者胡劼）中泰证券（600918.SH）资本实力再获夯实。近日，中泰证券公告称，公司成功完成向特定对象发行A股股票，募集资金总额达60亿元，扣除各项发行费用后的实际募集资金净额..."
"33种矿产保有量居全国前10 山西非煤矿产资源同样底气十足","11/26/2025 20:52","https://finance.eastmoney.com/a/202511263575734030.html","上证报中国证券网讯（记者武斌）“目前山西发现矿种120余种，其中33种保有资源量居全国前10，煤层气、铝土矿、耐火粘土和镁矿居全国第1。”山西省自然资源厅厅长、省自然资源总督察姚青林在11月26日举行..."
"北京启动专项行动重点整治六类金融领域网络乱象","11/26/2025 20:52","https://finance.eastmoney.com/a/202511263575734728.html","“网信北京”消息，当前，部分金融领域“黑灰产”借助网络平台滋生蔓延，通过假冒身份、隐蔽引流、非法推介等手段误导公众、欺诈敛财，严重侵害人民群众财产安全，扰乱金融市场秩序。为有效遏制金融领域突出网络乱象..."
"北京金融法院发布优化营商环境工作室机制 保障240余万名投资者权益","11/26/2025 20:52","https://finance.eastmoney.com/a/202511263575734633.html","上证报中国证券网讯（记者窦世平）北京金融法院副院长薛峰11月26日在北京市“促进法治化营商环境建设助力首都经济高质量发展”新闻发布会上发布该院优化营商环境工作室机制。"
"深交所组织上市公司赴澳大利亚路演 宣介中国投资机遇","11/26/2025 20:52","https://finance.eastmoney.com/a/202511263575734380.html","上证报中国证券网讯（记者时娜）11月26日，深交所组织上市公司赴澳大利亚举办“投资中国新机遇”—深市上市公司悉尼路演交流会，向当地投资者面对面讲好上市公司创新发展故事，展示“十五五”时期中国经济高质量..."
"北京破产法庭六年来挽救126家困境企业 助力8家上市公司成功化解退市风险","11/26/2025 20:52","https://finance.eastmoney.com/a/202511263575734831.html","上证报中国证券网讯（记者窦世平）北京一中院副院长李忠勇11月26日在北京市“促进法治化营商环境建设助力首都经济高质量发展”新闻发布会上表示，北京破产法庭成立六年来审结案件11010件，成功挽救126家..."
"北京启动专项行动！严打网上非法金融活动及“黑灰产”乱象","11/26/2025 20:46","https://finance.eastmoney.com/a/202511263575736635.html","北京商报讯11月26日，北京市网信办会同北京金融监管局联合部署开展为期3个月的“清朗京华·金融守护”金融领域网络乱象治理专项行动，以高压态势严打网上非法金融活动及“黑灰产”乱象。当前，部分金融领域“黑..."
"“万亿级消费领域”来了，六部门发文部署促消费","11/26/2025 20:44","https://finance.eastmoney.com/a/202511263575685111.html","增强供需适配性是进一步释放消费潜力、畅通经济循环的有效举措。工信部、国家发改委等六部门联合印发《关于增强消费品供需适配性进一步促进消费的实施方案》（下称《方案》）11月26日对外公布。工信部消费品工业..."
"谌贻琴在博士后工作座谈会上强调 深入实施新时代人才强国战略 构建具有国际竞争力的博士后制度体系","11/26/2025 20:44","https://finance.eastmoney.com/a/202511263575659381.html","新华社北京11月26日电博士后工作座谈会26日在京举行，国务委员谌贻琴出席会议并讲话。谌贻琴指出，我国博士后制度实施40年来取得显著成绩，培养了一大批博士后青年人才，取得了一大批高水平研究成果。特别是..."
"文化投资正当时：大湾区浮现五大趋势四大赛道","11/26/2025 20:38","https://finance.eastmoney.com/a/202511263575738158.html","南方财经记者魏彤广州报道2025粤港澳大湾区文化产业投资大会（广东·广州）会场外，来自深圳的众擎机器人正灵活地翻着跟斗，直接向在场的投资人拉起了“投资”，引来不少与会人员驻足拍摄。谁也想不到，眼前动作..."
"形成3个万亿级消费领域！促消费新政剑指AI、机器人等赛道","11/26/2025 20:38","https://finance.eastmoney.com/a/202511263575738071.html","21世纪经济报道记者周慧北京报道11月26日，工业和信息化部、国家发展改革委、商务部、文化和旅游部、中国人民银行和市场监管总局联合印发《关于增强消费品供需适配性进一步促进消费的实施方案》（以下简称《方..."
"2025大湾区科学论坛将在粤港澳三地同步举办","11/26/2025 20:37","https://finance.eastmoney.com/a/202511263575737476.html","11月26日，2025大湾区科学论坛新闻发布会在广州举行。会上通报，以“智创湾区产研共融”为主题的2025大湾区科学论坛定于12月6日至8日在粤港澳三地同步举办，开幕式和主论坛将于12月7日上午在广州..."
"优先向轨道交通站点周边供地、聚焦“好房子”建设！北京“十五五”规划建议定调未来5年楼市","11/26/2025 20:33","https://finance.eastmoney.com/a/202511263575738858.html","11月26日，《中共北京市委关于制定北京市国民经济和社会发展第十五个五年规划的建议》（以下简称《建议》）发布，将房地产政策纳入“着力保障和改善民生”重点任务，明确以“持续推进住有所居”为目标，推动房地..."
"深交所组织上市公司澳大利亚路演，宣介中国经济高质量发展投资机遇","11/26/2025 20:29","https://finance.eastmoney.com/a/202511263575740190.html","据深交所消息，11月26日，深交所组织上市公司赴澳大利亚举办“投资中国新机遇”—深市上市公司悉尼路演交流会，旨在向当地投资者面对面讲好上市公司创新发展故事，展示“十五五”时期中国经济高质量发展前景，宣..."
"专访吉姆·罗杰斯：中国经济正在进入一个新的繁荣期","11/26/2025 20:21","https://finance.eastmoney.com/a/202511263575740339.html","南方财经21世纪经济报道记者周蕊美国纽约报道过去五年，中国经历了全球供应链重塑、内部经济结构调整以及新一轮科技革命的推动，经济正在从高速增长阶段迈向高质量发展阶段，更加强调创新驱动、绿色转型、产业升级..."
"许家印前妻 突发！","11/26/2025 20:18","https://finance.eastmoney.com/a/202511263575684974.html","【导读】丁玉梅在三个加拿大银行账户中持有约1.37亿加元的资产，同时在直布罗陀、泽西岛和新加坡拥有账户，总价值超过2.2亿美元大家好，关注一下许家印前妻丁玉梅的消息。11月26日，香港法院扩大了对中国..."
"两部门：明年争取每省份推动建设1所示范性残疾人托养照护服务机构","11/26/2025 20:17","https://finance.eastmoney.com/a/202511263575740828.html","民政部、中国残联日前联合部署加强重度残疾人托养照护服务工作，2026年争取每个省份要推动建设1所示范性残疾人托养照护服务机构。两部门要求，各地要加快推动重度残疾人托养照护服务扩容提质增效，加强系统排查..."
"英国官方下调2026年增长预期至1.4%","11/26/2025 20:13","https://finance.eastmoney.com/a/202511263575612812.html","英国官方下调2026年增长预期至1.4%，原为1.9%。"
"市场监管总局：已累计发布262项与适老化、无障碍相关的国家标准","11/26/2025 20:12","https://finance.eastmoney.com/a/202511263575741138.html","上证报中国证券网讯（记者陈芳）市场监管总局标准技术司副司长王玉环26日在专题发布会上介绍，近年来，市场监管总局加强协同联动，重点加快适老化公共基础设施、适老家居环境设计、适老产品研发、解决老年人数字鸿..."
"市场监管总局：以标准化促进养老事业和养老产业协同发展","11/26/2025 20:12","https://finance.eastmoney.com/a/202511263575740935.html","上证报中国证券网讯（记者陈芳）市场监管总局标准技术司副司长王玉环26日在市场监管总局专题发布会上介绍，下一步，市场监管总局（国家标准委）将持续加强同民政部等相关部门的协同配合，以标准化为切入点和发力点..."
